file,bytes
RESULTS.md,6660
analysis-outputs/three-way-noise-table.csv,1036
analysis-outputs/three-way-noise-table.md,6838
analysis-outputs/endorsement-rates.csv,484
analysis-outputs/endorsement-summary.md,1798
analysis-outputs/reversal-audit.md,16508
analysis-outputs/human-human-noise.csv,348
analysis-outputs/human-human-bucket-distribution.csv,91
analysis-outputs/rok-human-ai-kappa.csv,501
analysis-outputs/ai-ai-noise.csv,59979
analysis-outputs/extractor-loss-rates.csv,36307
analysis-outputs/extractor-loss-summary.md,8553
figures/three-way-noise.svg,5169
figures/three-way-noise.tsv,206
appendices/grounding/Tesla_reliability_anchor.xlsx,24904
appendices/grounding/ROK_Human.xlsx,18218
appendices/grounding/ROK_Claude_T2.xlsx,24151
appendices/grounding/all-audited-claims.csv,36307
reports/endorsement-sample-reconciled-final-completed.xlsx,199905
reports/human-human-disagreements-bucketed-completed.xlsx,34428
